wavelength_nm,a_star_m2_per_mg,segment,source,decision,scientific_status
820,0.00021000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
825,0.00021000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
830,0.00021000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
835,0.00021000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
840,0.00021000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
845,0.00021000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
850,0.00021000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
850.00000000000011,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
851,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
852,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
853,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
854,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
855,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
856,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
857,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
858,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
859,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
860,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
861,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
862,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
863,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
864,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
865,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
866,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
867,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
868,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
