family,path,sha256_16,n_angle_decl,wl_min_um,wl_max_um,teta_n_wl
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r50f00v01.mie,c68f3a1bac2c8aa1,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r50f01v01.mie,15b2784aff6c2344,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r50f02v01.mie,e04eb4780ceeb69e,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r50f05v01.mie,4fc4c7832750c62e,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r50f10v01.mie,77d3b87239088a77,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r50f20v01.mie,71e3e1eeb1434c00,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r50f30v01.mie,cfa773dcc1e818fc,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r50f50v01.mie,4fd2ea7121827b4c,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r50f80v01.mie,88171b3c93eacb51,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r50f95v01.mie,786a6385f0e7bd96,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r70f00v01.mie,f0415da2abf1ac8f,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r70f01v01.mie,430896ccb36e2a04,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r70f02v01.mie,d9139db69d939e47,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r70f05v01.mie,c6eeba1e10fcc6bd,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r70f10v01.mie,feacded2bd341480,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r70f20v01.mie,0e64d08df53f69c3,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r70f30v01.mie,0bfdd7d21f297918,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r70f50v01.mie,87533acaaad2e9e2,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r70f80v01.mie,1ff29cd3ab4e6f65,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r70f95v01.mie,cbf3c0ae79e96ef9,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r75f00v01.mie,6912a057a83a220b,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r75f01v01.mie,58a3d0c504970bfe,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r75f02v01.mie,9f90213bf3202716,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r75f05v01.mie,22f90e78c206c72c,631,0.33,1.95,22
