vza,raa,julyOCRT_rrs0minus_I,julyOCRT_rrs0minus_Q,julyOCRT_rrs0minus_U,julyOCRT_Rrs0plus_I,julyOCRT_Rrs0plus_Q,julyOCRT_Rrs0plus_U,julyOSOAA_rrs0minus_I,julyOSOAA_rrs0minus_Q,julyOSOAA_rrs0minus_U,julyOSOAA_Rrs0plus_I,julyOSOAA_Rrs0plus_Q,julyOSOAA_Rrs0plus_U,curMoment_rrs0minus_I,curMoment_rrs0minus_Q,curMoment_rrs0minus_U,curMoment_Rrs0plus_I,curMoment_Rrs0plus_Q,curMoment_Rrs0plus_U,curDirect_rrs0minus_I,curDirect_rrs0minus_Q,curDirect_rrs0minus_U,curDirect_Rrs0plus_I,curDirect_Rrs0plus_Q,curDirect_Rrs0plus_U
10.0,120.0,2.7076706475e-02,2.0395616205e-04,-2.2551967657e-03,1.5247802245e-02,1.3000966573e-04,-1.2699668585e-03,2.7072320928e-02,2.1096704866e-04,-2.2593721619e-03,1.5255337793e-02,1.3291806318e-04,-1.2727255099e-03,2.6969428119e-02,2.0314577420e-04,-2.2479162218e-03,1.5184858676e-02,1.2947167965e-04,-1.2656559703e-03,2.7003414941e-02,2.0417661053e-04,-2.2549938464e-03,1.5205123347e-02,1.3008075050e-04,-1.2697351438e-03
10.0,135.0,2.7207452051e-02,-8.0179331540e-04,-2.3184750954e-03,1.5320865956e-02,-4.3628419869e-04,-1.3056007255e-03,2.7202602428e-02,-7.9837288635e-04,-2.3245332654e-03,1.5328691110e-02,-4.3557658971e-04,-1.3094448663e-03,2.7101357029e-02,-7.9930839070e-04,-2.3110146542e-03,1.5258578311e-02,-4.3487175138e-04,-1.3011826091e-03,2.7135650989e-02,-8.0154892358e-04,-2.3183761329e-03,1.5279019565e-02,-4.3614642291e-04,-1.3054242508e-03
10.0,150.0,2.7312107720e-02,-1.7675569163e-03,-1.9009660875e-03,1.5379260057e-02,-9.8007544609e-04,-1.0704892659e-03,2.7306883521e-02,-1.7679873286e-03,-1.9067240581e-03,1.5387304446e-02,-9.8172479718e-04,-1.0740954113e-03,2.7206668910e-02,-1.7619721331e-03,-1.8948942252e-03,1.5317333883e-02,-9.7682665887e-04,-1.0668921581e-03,2.7241406095e-02,-1.7673463532e-03,-1.9009535696e-03,1.5338027314e-02,-9.7990580952e-04,-1.0703832110e-03
10.0,165.0,2.7379842223e-02,-2.4620696787e-03,-1.0697544333e-03,1.5417014595e-02,-1.3711380518e-03,-6.0240981972e-04,2.7374325620e-02,-2.4654273804e-03,-1.0732225193e-03,1.5425187002e-02,-1.3745834540e-03,-6.0457140867e-04,2.7275040230e-02,-2.4543011902e-03,-1.0663613492e-03,1.5355441902e-02,-1.3665942200e-03,-6.0039898062e-04,2.7309808468e-02,-2.4619201021e-03,-1.0697741760e-03,1.5376154389e-02,-1.3709662133e-03,-6.0236522126e-04
10.0,180.0,2.7403291060e-02,-2.7145196808e-03,-1.0401278645e-18,1.5430078017e-02,-1.5132869318e-03,-5.8572623754e-19,2.7397668124e-02,-2.7189725626e-03,0.0000000000e+00,1.5438296421e-02,-1.5174031463e-03,0.0000000000e+00,2.7298650039e-02,-2.7059686160e-03,-1.0368300123e-18,1.5368594217e-02,-1.5082786974e-03,-5.8377179833e-19,2.7333476419e-02,-2.7143998503e-03,-1.0401582479e-18,1.5389339964e-02,-1.5131185730e-03,-5.8568917363e-19
15.0,0.0,2.6313440281e-02,-2.5827185206e-04,-1.9022249377e-19,1.4816851288e-02,-1.1172350514e-04,-1.0711461583e-19,2.6310385292e-02,-2.7105829756e-04,-1.9286208736e-19,1.4820924939e-02,-1.2105322102e-04,-1.0857202244e-19,2.6195495030e-02,-2.5683748569e-04,-1.8939832492e-19,1.4747979088e-02,-1.1104839545e-04,-1.0663274777e-19,2.6224250230e-02,-2.5856224860e-04,-1.9013973829e-19,1.4765261992e-02,-1.1199093123e-04,-1.0705811367e-19
15.0,15.0,2.6331643425e-02,-1.0510639573e-04,3.7588975386e-04,1.4827297757e-02,-2.5452228010e-05,2.1166417168e-04,2.6328677537e-02,-1.1673847754e-04,3.8138422930e-04,1.4831479958e-02,-3.4129124812e-05,2.1469392386e-04,2.6214124506e-02,-1.0433346827e-04,3.7433818203e-04,1.4758662997e-02,-2.5163348723e-05,2.1075534308e-04,2.6242925786e-02,-1.0555069025e-04,3.7577985691e-04,1.4775973290e-02,-2.5813680356e-05,2.1158271804e-04
15.0,30.0,2.6387122972e-02,3.0550311261e-04,5.7750327432e-04,1.4859064500e-02,2.0583437092e-04,3.2519309438e-04,2.6384318165e-02,2.9723157580e-04,5.8754786859e-04,1.4863557740e-02,1.9905250680e-04,3.3071536389e-04,2.6270344337e-02,3.0464915359e-04,5.7522801682e-04,1.4790839147e-02,2.0516969392e-04,3.2385790137e-04,2.6299801728e-02,3.0483092453e-04,5.7755671516e-04,1.4808523044e-02,2.0532500059e-04,3.2519310807e-04
15.0,45.0,2.6481872691e-02,8.3942818675e-04,4.7930495045e-04,1.4913102382e-02,5.0661066741e-04,2.6989744807e-04,2.6479114504e-02,8.3617923287e-04,4.9194875144e-04,1.4918035719e-02,5.0265731890e-04,2.7680608898e-04,2.6366381212e-02,8.3670221822e-04,4.7744770646e-04,1.4845590304e-02,5.0484354511e-04,2.6880681696e-04,2.6396728488e-02,8.3876704829e-04,4.7968650229e-04,1.4863781727e-02,5.0608248941e-04,2.7008731867e-04
15.0,60.0,2.6617356205e-02,1.3120372975e-03,4.1464157099e-05,1.4989999041e-02,7.7291193349e-04,2.3348538706e-05,2.6614378484e-02,1.3143177732e-03,5.4100076036e-05,1.4995404634e-02,7.7206783342e-04,3.0161628958e-05,2.6503529586e-02,1.3077884053e-03,4.1062243673e-05,1.4923409527e-02,7.7024513476e-04,2.3118366409e-05,2.6534924771e-02,1.3116416181e-03,4.2048685395e-05,1.4942199042e-02,7.7251206809e-04,2.3675497722e-05
15.0,75.0,2.6792337067e-02,1.5372128629e-03,-6.7418213933e-04,1.5088819795e-02,8.9993318095e-04,-3.7963313078e-04,2.6788906517e-02,1.5439859085e-03,-6.6402904273e-04,1.5094811093e-02,9.0181657830e-04,-3.7432745066e-04,2.6680451561e-02,1.5321926511e-03,-6.7231938241e-04,1.5023305686e-02,8.9681343577e-04,-3.7852110445e-04,2.6712930318e-02,1.5371077053e-03,-6.7362032690e-04,1.5042714081e-02,8.9968902095e-04,-3.7928169133e-04
15.0,90.0,2.7000874170e-02,1.3792855905e-03,-1.5139481981e-03,1.5206045382e-02,8.1127098737e-04,-8.5250685348e-04,2.6996720418e-02,1.3890402052e-03,-1.5078593312e-03,1.5212598618e-02,8.1448933593e-04,-8.4961838316e-04,2.6891047867e-02,1.3746259120e-03,-1.5093345656e-03,1.5141671546e-02,8.0837164219e-04,-8.4976724112e-04,2.6924534902e-02,1.3793407362e-03,-1.5134975434e-03,1.5161656181e-02,8.1112921578e-04,-8.5217426668e-04
15.0,105.0,2.7231137855e-02,7.9517887008e-04,-2.2671518339e-03,1.5334959298e-02,4.8265362107e-04,-1.2766371259e-03,2.7226138036e-02,8.0532853822e-04,-2.2655049004e-03,1.5342076864e-02,4.8595914727e-04,-1.2763773087e-03,2.7123353351e-02,7.9237211175e-04,-2.2600343317e-03,1.5271715898e-02,4.8085487844e-04,-1.2724171186e-03,2.7157702618e-02,7.9531573653e-04,-2.2667660672e-03,1.5292193395e-02,4.8259197534e-04,-1.2763018476e-03
15.0,120.0,2.7465525727e-02,-1.4494190185e-04,-2.7192796572e-03,1.5465739465e-02,-4.6431109791e-05,-1.5312310865e-03,2.7459630509e-02,-1.3641368688e-04,-2.7213570145e-03,1.5473378393e-02,-4.4260452156e-05,-1.5331527149e-03,2.7359650613e-02,-1.4467722467e-04,-2.7106616000e-03,1.5403553206e-02,-4.6409968861e-05,-1.5261238177e-03,2.7394688935e-02,-1.4469993233e-04,-2.7189447606e-03,1.5424424660e-02,-4.6381315069e-05,-1.5309009041e-03
